web-scraper-order,web-scraper-start-url,latest_video,latest_video-href,recommended_video,recommended_video-href
"1768103823-60","https://www.youtube.com/user/FoxNewsChannel/videos","Gutfeld: No wonder we stopped reproducing","https://www.youtube.com/watch?v=0-BjIiVLl5k","Venezuelan immigrant speaks out following Maduro's capture; says hope has been restored","https://www.youtube.com/watch?v=cylfhA8pNgY"
"1768103833-61","https://www.youtube.com/user/FoxNewsChannel/videos","'Gutfeld!': Trump to make showers GREAT again","https://www.youtube.com/watch?v=ez9H8L3awq0","Gutfeld: No wonder we stopped reproducing","https://www.youtube.com/watch?v=0-BjIiVLl5k&pp=0gcJCU0KAYcqIYzv"
"1768103833-62","https://www.youtube.com/user/FoxNewsChannel/videos","'Gutfeld!': Trump to make showers GREAT again","https://www.youtube.com/watch?v=ez9H8L3awq0","Gavin Newsom sends capital SPRINTING out of California","https://www.youtube.com/watch?v=H29q5bjvs9A"
"1768103833-63","https://www.youtube.com/user/FoxNewsChannel/videos","'Gutfeld!': Trump to make showers GREAT again","https://www.youtube.com/watch?v=ez9H8L3awq0","'STUNNER': NYC exodus grows as Mamdani's polices take hold","https://www.youtube.com/watch?v=kD93vokCCos"
"1768103833-64","https://www.youtube.com/user/FoxNewsChannel/videos","'Gutfeld!': Trump to make showers GREAT again","https://www.youtube.com/watch?v=ez9H8L3awq0","Every Time Kate McKinnon Made People BREAK on SNL","https://www.youtube.com/watch?v=VNoVq41mEqQ"
"1768103833-65","https://www.youtube.com/user/FoxNewsChannel/videos","'Gutfeld!': Trump to make showers GREAT again","https://www.youtube.com/watch?v=ez9H8L3awq0","IRAN: Trump pledges support for protesters as demonstrations hit 2-week mark","https://www.youtube.com/watch?v=vs2s79qOrfE"
"1768103833-66","https://www.youtube.com/user/FoxNewsChannel/videos","'Gutfeld!': Trump to make showers GREAT again","https://www.youtube.com/watch?v=ez9H8L3awq0","Greg Gutfeld: THIS has BROKEN Dems...","https://www.youtube.com/watch?v=K7YarNm7xtg"
"1768103833-67","https://www.youtube.com/user/FoxNewsChannel/videos","'Gutfeld!': Trump to make showers GREAT again","https://www.youtube.com/watch?v=ez9H8L3awq0","'Gutfeld!': The food pyramid gets flipped...","https://www.youtube.com/watch?v=UVrgA1cw23g"
"1768103833-68","https://www.youtube.com/user/FoxNewsChannel/videos","'Gutfeld!': Trump to make showers GREAT again","https://www.youtube.com/watch?v=ez9H8L3awq0","MALIBU 🔥 ONE YEAR LATER 🔥 The Adam Carolla Vlog","https://www.youtube.com/watch?v=S8Pddb_phkI&pp=ugUEEgJlbtIHCQlNCgGHKiGM7w%3D%3D"
"1768103833-69","https://www.youtube.com/user/FoxNewsChannel/videos","'Gutfeld!': Trump to make showers GREAT again","https://www.youtube.com/watch?v=ez9H8L3awq0","Gutfeld: We're doing 'EXACTLY what they want'","https://www.youtube.com/watch?v=DNTfm5W0I7A&pp=0gcJCU0KAYcqIYzv"
"1768103833-70","https://www.youtube.com/user/FoxNewsChannel/videos","'Gutfeld!': Trump to make showers GREAT again","https://www.youtube.com/watch?v=ez9H8L3awq0","FULL: RFK Jr. joins Karoline Leavitt to announce new federal food regulations","https://www.youtube.com/watch?v=exHgMEHibBs"
"1768103833-71","https://www.youtube.com/user/FoxNewsChannel/videos","'Gutfeld!': Trump to make showers GREAT again","https://www.youtube.com/watch?v=ez9H8L3awq0","Greg Gutfeld: Dems just keep giving him so much good material","https://www.youtube.com/watch?v=YBk7tusLnGI"
"1768103833-72","https://www.youtube.com/user/FoxNewsChannel/videos","'Gutfeld!': Trump to make showers GREAT again","https://www.youtube.com/watch?v=ez9H8L3awq0","Tim Conway is the World's Oldest Doctor | The Carol Burnett Show","https://www.youtube.com/watch?v=hxbC5A_YcHo"
"1768103833-73","https://www.youtube.com/user/FoxNewsChannel/videos","'Gutfeld!': Trump to make showers GREAT again","https://www.youtube.com/watch?v=ez9H8L3awq0","Greg Gutfeld: The revolution never starts at ‘mom and dad’s place’","https://www.youtube.com/watch?v=p0PQQXc9dVw"
"1768103833-74","https://www.youtube.com/user/FoxNewsChannel/videos","'Gutfeld!': Trump to make showers GREAT again","https://www.youtube.com/watch?v=ez9H8L3awq0","Criminal referrals DETONATE as Minnesota fraud case spirals","https://www.youtube.com/watch?v=waHN9qz1i1o&pp=0gcJCU0KAYcqIYzv"
"1768103833-75","https://www.youtube.com/user/FoxNewsChannel/videos","'Gutfeld!': Trump to make showers GREAT again","https://www.youtube.com/watch?v=ez9H8L3awq0","WATCH: JD Vance has a message for Jasmine Crockett...","https://www.youtube.com/watch?v=-k7em-PkgJk"
